date,gdp_log_d4,cons_log_d4,inv_log_d4,inv_cap_log_d4
1995-01-01,,,,
1995-04-01,,,,
1995-07-01,,,,
1995-10-01,,,,
1996-01-01,-0.022473372494715704,-0.033302955904593645,0.09233196535179111,-0.005703391859094964
1996-04-01,-0.03470486857515276,-0.04893646702048393,-0.12111260551800562,-0.3966572766627303
1996-07-01,-0.05644862176609422,-0.08639400566181088,-0.18602525380729062,-0.2296031506900702
1996-10-01,-0.031243775199367718,-0.03226941115107529,-0.312226950745611,-0.24357190378263205
1997-01-01,-0.004545897563602352,0.01700539820171265,-0.07302650863241311,-0.05638084995092729
1997-04-01,-0.008443964864470743,0.02288779773576799,-0.03704377770512224,-0.038476178349980295
1997-07-01,0.027905620461561753,0.061243370114983264,-0.011388131806677748,0.05986588716247532
1997-10-01,0.03539139021325077,0.08907443235072954,-0.05593206210735069,-0.22624049399106383
1998-01-01,-0.014620786980220402,-0.004790338617455703,-0.05054658528389311,-0.08144692133297227
1998-04-01,-0.009574654149776762,-0.006800415388845238,-0.09341752248004731,-0.057764756440548126
1998-07-01,-0.09205647829862862,-0.0037867913056750524,-0.9663256885781495,-0.0979219419082451
1998-10-01,-0.09540697691160283,-0.11731622164235844,-2.0752208006341544,-0.2469182375287513
1999-01-01,-0.01865595148833954,-0.05285095713376897,-1.4551833402727654,-0.04298676213436359
1999-04-01,0.030637372728691048,-0.053468781852293645,-0.667545065507146,-0.006247791581442286
1999-07-01,0.1081364539439491,-0.06452214978378557,0.6975214436578838,0.037855322612651676
1999-10-01,0.1136635286994423,0.048387156394046116,1.3394038383918625,0.19132084044751885
2000-01-01,0.10811239260666206,0.05946218367044409,0.8885123422620493,0.19519272775866803
2000-04-01,0.09737708116002253,0.06977648290692962,0.6842557205992863,0.19683728649928334
2000-07-01,0.10023286258583397,0.0882613097990177,0.31658665182249823,0.14194812733136164
2000-10-01,0.07935922442202603,0.06416370193724319,0.7340220323980953,0.15231095882401569
2001-01-01,0.04571951350073,0.07155039755112114,0.16219403807602717,0.06738074968506602
2001-04-01,0.049194723855972455,0.09819412543645534,0.30472725408979784,0.10227860782306486
2001-07-01,0.05847045692364716,0.09637931921129983,0.12402787523658176,0.10047197141502195
2001-10-01,0.04433208230924279,0.09547062003944085,0.07324644496404353,0.1058823385859764
2002-01-01,0.03730536805254836,0.08618610635251933,0.03118695861556553,0.02899090741879906
2002-04-01,0.04314213728655325,0.07789489305663011,-0.186405550720961,0.0182433976465175
2002-07-01,0.04336717601613316,0.07789489862636323,-0.0012799288909768336,0.02801847908391153
2002-10-01,0.05984881188896196,0.08434955876289685,0.03601576152376218,0.032870471941086166
2003-01-01,0.07251279065275362,0.07231104005045808,0.12726648847100108,0.11094545991617544
2003-04-01,0.07427009791189043,0.06997145092726953,0.2024450870761374,0.13405509325311105
2003-07-01,0.05232455607290376,0.06844721372792506,0.062281966548248135,0.11904850238987663
2003-10-01,0.0722398235219135,0.07991676657807112,0.179310269384251,0.14732152095368356
2004-01-01,0.06990200119997958,0.11206434643612972,0.13618310249041343,0.16159960972960885
2004-04-01,0.07723882103069357,0.11363323551754512,0.1441674748540951,0.1404054242190007
2004-07-01,0.07068507720765993,0.1332192285555891,0.07555551658306214,0.10003539096654634
2004-10-01,0.060338706266236386,0.11057853829924369,0.12671257536428016,0.09800209376667723
2005-01-01,0.054259258883337935,0.0899440846000541,0.16073489864510648,0.06034466100911917
2005-04-01,0.058390747482400585,0.12947794889788788,0.040458134481067276,0.08062090948207157
2005-07-01,0.05789555787805156,0.11833353171509131,0.08181691400556979,0.10431317801363171
2005-10-01,0.07492550290108824,0.12145714945686414,0.09874226552221188,0.13050674585633892
2006-01-01,0.07044608013474907,0.10694421986826974,0.12483147222345892,0.09594028427710288
2006-04-01,0.07772472117573592,0.11117135988987137,0.18956225125387505,0.17088843157598355
2006-07-01,0.07872529557235275,0.10769316809887997,0.1450804756629296,0.1638598870916912
2006-10-01,0.08508037417193748,0.13032128105957774,0.18547344813551803,0.19477070557802456
2007-01-01,0.07760331830915135,0.13036950585383345,0.25397320230975495,0.17121249692218576
2007-04-01,0.08266607721828478,0.13201107164625725,0.2375260622499038,0.17843780398700382
2007-07-01,0.0785631156287181,0.14051110280629153,0.18265319696064886,0.1440603373307887
2007-10-01,0.08787711999881331,0.1316680806868522,0.15382061496340427,0.23957479673239312
2008-01-01,0.08778428505591584,0.1346568851462564,0.1213133499375818,0.2145158795769504
2008-04-01,0.07604815523582609,0.1123545976116258,0.20849260956150495,0.16776871219921574
2008-07-01,0.06214358966686717,0.10396205587048257,0.1364243449235314,0.12182728019142886
2008-10-01,-0.013307517271179847,0.05878328485349371,-0.06253241253816277,-0.007377719200851729
2009-01-01,-0.0965326153667867,-0.005055667338583092,-0.7660097520432156,-0.17661829416336516
2009-04-01,-0.11823641766781634,-0.05485098647002751,-0.8291676911482782,-0.2159204932220149
2009-07-01,-0.09013010532368781,-0.08379135247878011,-0.4663674437602694,-0.17803931740681378
2009-10-01,-0.026214816772837324,-0.06127967424983716,-0.22238794888419378,-0.08793890849323915
2010-01-01,0.03989773459978352,0.0195262381227721,0.01894144609305748,-0.036102692217342636
2010-04-01,0.048789640313147586,0.05874577053475605,0.27649412067344414,0.05621699565240057
2010-07-01,0.03754774124105431,0.07027867978336211,0.26519477731330987,0.051922986351252476
2010-10-01,0.04954602729799973,0.06346162777823494,0.31008867022861253,0.10039751459323831
2011-01-01,0.032213393191753426,0.04380417981903584,0.38931075281778504,0.0617172562281052
2011-04-01,0.03240919405077136,0.05470676627367688,0.19717276624683322,0.06415432960325695
2011-07-01,0.049376310943909374,0.07931229620345093,0.16913729450167558,0.08165146425084302
2011-10-01,0.050311935993427426,0.08156611238659828,0.13394584754254346,0.11286691405660498
2012-01-01,0.055431162029234926,0.0765361036039689,0.09494555101110969,0.11843727407673299
2012-04-01,0.04737169756615778,0.07396652973199025,0.07807378522873876,0.07630032387674746
2012-07-01,0.034288095882759606,0.07176885121567622,0.04652977463133823,0.0659110725398655
2012-10-01,0.02382148775361337,0.07109976509545035,0.004576990956280724,0.027782202594876182
2013-01-01,0.011252749941267126,0.0516703676931769,0.004413735382067685,0.05128245039999868
2013-04-01,0.01707639473735867,0.05466553271242347,-0.06785101854787712,0.03628789490253226
2013-07-01,0.014991158167083185,0.05631115332631076,-0.08802481319874289,0.0016554052750237247
2013-10-01,0.025145489762431694,0.038611286310530346,-0.05008858460720589,0.008971310943373112
2014-01-01,-0.0004613168192744155,0.035901632905304126,-0.16803853692767845,-0.0012627728558314288
2014-04-01,0.005549170017623339,0.019924739776985945,-0.0894095742688048,-0.02662168997986747
2014-07-01,0.013962748826276794,0.012022119681528665,-0.005859368691019995,-0.03789475514081886
2014-10-01,0.009244592903598914,0.016399045854775807,-0.021639368446319196,-0.01618491442635772
2015-01-01,-0.015380131275261277,-0.07756740837676546,-0.21553740535220633,-0.04420798647796609
2015-04-01,-0.031375972542162955,-0.09907704618330904,-0.21943865875609347,-0.11607755803735564
2015-07-01,-0.017143720571439758,-0.1019954791320945,-0.054326592710721044,-0.14634130004345636
2015-10-01,-0.016102049105347405,-0.11730869519844944,-0.053128447568301596,-0.1161941005595768
2016-01-01,-0.0020602457571854416,-0.030282741460714746,0.02423888018881115,-0.10352940786484766
2016-04-01,0.0032089404396966614,-0.028645669135249463,-0.006305170093693135,-0.01169969211972166
2016-07-01,0.0005910156216124562,-0.03252000050600223,-0.050543012996845604,0.01658442536098015
2016-10-01,0.005372383289712346,-0.013136167458831949,0.01871880181232477,0.06671548256758975
2017-01-01,0.013018699731903283,0.015908441263613682,0.05480902749312122,0.10199192121728551
2017-04-01,0.023149096888266385,0.03780422751801282,0.1416473598804835,0.08970728257366112
2017-07-01,0.02604140620002049,0.04469718633734665,0.07213704619213956,0.046162710231172355
2017-10-01,0.010355387292053209,0.04597759249396027,-0.01035310793917077,0.0013764340025055333
2018-01-01,0.025310321165102678,0.042558718495916636,0.00848165694540981,0.05585434410276413
2018-04-01,0.026927770485814406,0.04550722453481093,-0.05411321202614161,-0.017554643816312776
2018-07-01,0.025999102669571172,0.03822727417198735,-0.02437497925590648,0.07831718998238912
2018-10-01,0.03187792496693298,0.04105511140686957,0.009069730122602593,-0.04819065235513165
2019-01-01,0.013804940596818582,0.038748507544022814,-0.1703687013239712,-0.00704489855047008
2019-04-01,0.013497771409163306,0.03682788256843139,0.003703141186695902,0.03974285884678608
2019-07-01,0.027309901377423174,0.03769492232651572,0.04612365383179551,-0.017756491458024826
2019-10-01,0.030245048735148217,0.03535657650570734,0.13330532136524376,0.018300427840019395
2020-01-01,0.015012752656309303,0.052816196058252274,-0.025140615380545128,-0.021831523541099074
2020-04-01,-0.07600424834783404,-0.22018902236274762,-0.08303833629918955,-0.08477217992033026
2020-07-01,-0.03388008734987302,-0.058539817602309085,-0.12450771958174478,-0.07951812483134191
2020-10-01,-0.01313014565280568,-0.034190304475854916,0.043514881259236304,-0.00023623146498152892
2021-01-01,0.010020716542532782,-0.024625863327997877,0.16799638489974633,0.048742616562382324
2021-04-01,0.10814144934383663,0.2532894118888578,0.1661370318888018,0.12324799905688977
2021-07-01,0.05075603907762627,0.09117729670974484,0.09009425412446426,0.09346796421652215
2021-10-01,0.0578095108881751,0.0701109743595989,0.1497772360613272,0.08436696922804288
2022-01-01,0.03319992545845807,0.0661588687855943,-0.026036745006473794,0.12734975900523438
2022-04-01,-0.037734900293299845,-0.03235462078096596,-0.1628894150365383,0.06402716600155678
2022-07-01,-0.029830812314092015,-0.037250543197332675,0.13943252777857573,0.08697722986015144
2022-10-01,-0.019359964454563894,-0.01860621343884361,0.04114145344651021,0.04220957207902032
2023-01-01,-0.008918173275663577,0.0022882411855871254,0.19453839103127102,0.06662811581648498
2023-04-01,0.05191767730025276,0.09729255140934434,0.2604409297557879,0.13974577768340168
2023-07-01,0.059870514286613385,0.10657591162335045,0.0936175301588218,0.059643436850686626
2023-10-01,0.05154673485676042,0.07994788599090796,0.19790901562408791,0.050040653191572915
2024-01-01,0.05216783191457708,0.06788523984046613,-0.07468602334347274,0.09006259920161952
2024-04-01,0.042093586866583266,0.052055074330732864,-0.014705864065893692,0.03816096030335103
2024-07-01,0.032553434483345356,0.0499440243198066,0.08334232508372708,0.07570303150034263
2024-10-01,0.04431647041960751,0.042483443268109156,0.033708014333535985,0.04401886636718011
2025-01-01,0.013420955310813554,0.029999019665238436,0.01889413514994409,0.0817323264780061
2025-04-01,0.010457464572134256,0.031277238143379904,0.0009957648490193094,0.010440946439940646
